Iref,0 Ex,0 Ey,1 Ex,1 Ey,2 Ex,2 Ey,3 Ex,3 Ey,4 Ex,4 Ey,5 Ex,5 Ey,6 Ex,6 Ey,7 Ex,7 Ey,8 Ex,8 Ey,9 Ex,9 Ey
4200000.0,(0.5500658368697663-0.0013853793015715689j),(0.8347611857181233-0.024483027579979347j),(0.5502766031471952+0.019207908750066845j),(0.834761185718121-0.0006921537100892418j),(0.5505987523655839+0.0001685281583642625j),(0.8347611857181264-0.003840351318176091j),(0.5502921484796189-0.01430356354650856j),(0.8347611857181295-0.012154102109320448j),(0.5497893740323297-0.024663326922115574j),(0.8347611857181269+0.01723738126266109j),(0.5504248174906556+0.0035468916554279688j),(0.8347611857181202+0.013917710173992372j),(0.5502240078729721-0.0043344797804903325j),(0.8347611857181227-0.02021178497214335j),(0.5506019649464327+0.001835912413639515j),(0.8347611857181216+0.002805072058726492j),(0.5501444423714992-0.012302172281302037j),(0.8347611857181277+0.019065987817097268j),(0.5502727213438554-0.014244232378288703j),(0.834761185718111-0.013068924795217856j)
4400000.0,(0.30633925713597443-0.0007715487752298043j),(0.9518244341002986-0.013634915012225357j),(0.30645663532378953+0.010697137590681626j),(0.9518244341002953-0.0003854489727291438j),(0.3066360443829971+9.384518334672794e-05j),(0.9518244341003017-0.0021387229256244365j),(0.3064652924919289-0.007965862646950941j),(0.9518244341003054-0.006768765592762375j),(0.3061852890931887-0.013735358336476418j),(0.9518244341003017+0.009599756862049749j),(0.3065391770089448+0.0019753027227291733j),(0.9518244341002947+0.007750986734246586j),(0.30642734454363474-0.0024139428379229277j),(0.951824434100298-0.011256200666065459j),(0.30663783327993666+0.0010224350425899675j),(0.9518244341002953+0.0015622053285890458j),(0.30638303173681797-0.006851259870296736j),(0.9518244341003036+0.010618133520974612j),(0.30645447329503533-0.007932820139377439j),(0.9518244341002853-0.007278242893805201j)
4600000.0,(0.040181136204799496-0.00010120912381407152j),(0.9991908064622389-0.0017883883169178554j),(0.04019653068136221+0.00140308663615157j),(0.9991908064622351-5.0515751232493855e-05j),(0.04022006290339413+1.2303540788313402e-05j),(0.9991908064622427-0.0002804842905963671j),(0.04019766662677894-0.0010448523136049569j),(0.9991908064622466-0.0008877861074125908j),(0.040160937436155605-0.0018016119244731697j),(0.9991908064622421+0.001259198749225001j),(0.04020735591300032+0.00025908636102174587j),(0.9991908064622356+0.0010167042392997265j),(0.04019268988154688-0.0003166331425954877j),(0.9991908064622391-0.0014763828454388605j),(0.040220297047162935+0.00013410354805538124j),(0.9991908064622356+0.00020494985600821402j),(0.04018687449373295-0.0008986542090409048j),(0.9991908064622448+0.0013927748579603324j),(0.040196247601775405-0.0010405179627182223j),(0.9991908064622262-0.0009546118968544771j)
4800000.0,(-0.2289192284243768+0.0005765563423343022j),(0.9733919235108469+0.010189096692478538j),(-0.2290069456596797-0.00799368982407748j),(0.9733919235108429+0.0002881209085882318j),(-0.22914101287894215-7.012392752980476e-05j),(0.9733919235108497+0.0015982961190573262j),(-0.22901341313344512+0.0059526818691479355j),(0.9733919235108538+0.005058204678722842j),(-0.22880417856346988+0.010264071590315095j),(0.9733919235108492-0.007173559599112915j),(-0.2290686292217707-0.0014760863340720024j),(0.9733919235108425-0.0057920226717606115j),(-0.22898505446298684+0.0018038768235883705j),(0.9733919235108471+0.008411546351539897j),(-0.22914235071907868-0.0007640324351767838j),(0.9733919235108418-0.001167309903291686j),(-0.22895194664537785+0.005119770076445533j),(0.9733919235108519-0.007934565690289015j),(-0.2290053280767692+0.005927990709123922j),(0.9733919235108348+0.005438923573501248j)
5000000.0,(-0.481257094909795+0.0012121205759438557j),(0.8763168957419364+0.02142049484537576j),(-0.4814415016398462-0.016805115461436315j),(0.8763168957419321+0.0006056647792401053j),(-0.48172335069330363-0.0001473995009650276j),(0.8763168957419384+0.0033600456739628854j),(-0.4814550978475862+0.012514350910534273j),(0.8763168957419418+0.010633814677160732j),(-0.4810152205125013+0.021578190469782665j),(0.8763168957419383-0.015081033389235901j),(-0.48157117686172907-0.0031031561840720347j),(0.8763168957419313-0.01217662820463511j),(-0.48139548055043546+0.003792315765049903j),(0.876316895741937+0.017683548384803086j),(-0.48172616264788054-0.0016062053287769931j),(0.8763168957419301-0.0024540908126884013j),(-0.4813258738566971+0.010763318838578437j),(0.8763168957419403-0.016680898069207886j),(-0.4814381007314198+0.012462442265297486j),(0.8763168957419255+0.011434200174392114j)
5200000.0,(-0.6983551470528022+0.0017589466104501808j),(0.7150739943442005+0.031083392807562102j),(-0.6986227411030826-0.024385976055728585j),(0.7150739943441963+0.0008788641373999526j),(-0.6990317330647263-0.00021386278766679246j),(0.715073994344201+0.00487576127193645j),(-0.6986424692416057+0.018159681745545737j),(0.7150739943442047+0.015430772749409759j),(-0.6980041588140516+0.03131227584110165j),(0.7150739943442014-0.021884201531839835j),(-0.6988109121439868-0.004502979871723238j),(0.7150739943441942-0.017669602641562226j),(-0.6985559590350995+0.005503083137920646j),(0.7150739943442015+0.025660685674243313j),(-0.6990358133302866-0.0023307455077873776j),(0.7150739943441928-0.003561168879283693j),(-0.6984549503910942+0.015618747920903184j),(0.7150739943442023-0.024205776259171575j),(-0.6986178046695595+0.018084356628928436j),(0.7150739943441908+0.01659221687232793j)
5400000.0,(-0.8643164867902162+0.0021769951147274126j),(0.5014701514298866+0.03847022989180654j),(-0.8646476747118794-0.030181165084560015j),(0.501470151429883+0.001087714354345376j),(-0.8651538606180926-0.00026464529621408016j),(0.501470151429887+0.006034455527834045j),(-0.8646720888611426+0.02247529954927368j),(0.5014701514298899+0.01909782416203359j),(-0.8638820851565586+0.038753555834923126j),(0.5014701514298875-0.02708490518247282j),(-0.864880562357562-0.0055730542446391345j),(0.5014701514298809-0.02186872551137726j),(-0.8645650207104236+0.00681091058690131j),(0.5014701514298886+0.03175883647104527j),(-0.8651589105265499-0.0028845971210722738j),(0.5014701514298799-0.004407478757176549j),(-0.8644400064211255+0.01933052266828872j),(0.5014701514298877-0.029958194622866988j),(-0.864641562882712+0.02238207363586647j),(0.50147015142988+0.020535280580566345j)
5600000.0,(-0.966988676609624+0.0024356561737001164j),(0.25114640335563654+0.04304010883053636j),(-0.9673592083898993-0.03376633120032869j),(0.2511464033556338+0.0012169227199931975j),(-0.9679255222463351-0.0002960270080141726j),(0.25114640335563876+0.006751283769746801j),(-0.9673865194053314+0.02514519682232134j),(0.2511464033556402+0.02136645103853957j),(-0.966502669886572+0.043357147869811624j),(0.25114640335563837-0.03030232517630819j),(-0.967619759036163-0.006235022136930785j),(0.2511464033556337-0.02446651798103785j),(-0.9672667336442694+0.007620034578450259j),(0.2511464033556403+0.03553146687841888j),(-0.9679311721340736-0.003227203159008623j),(0.25114640335563354-0.004931049714483032j),(-0.967126867806506+0.021626851694822813j),(0.25114640335563837-0.03351693501686196j),(-0.9673523672687401+0.0250408965649186j),(0.2511464033556352+0.02297466254680312j)
5800000.0,(-0.9988535959267318+0.0025159906240572443j),(-0.017567416578760757+0.044458402713806314j),(-0.9992363406715578-0.03487895121356732j),(-0.01756741657876278+0.0012570282406490461j),(-0.9998213136032594-0.00030570883454240677j),(-0.017567416578760063+0.0069737567496566295j),(-0.9992645472125269+0.0259738728269207j),(-0.017567416578759303+0.022070534451271162j),(-0.9983515711434386+0.04478595735593356j),(-0.017567416578759626-0.0313008673295151j),(-0.9995054750751573-0.006440410095561339j),(-0.017567416578764164-0.025272757843652106j),(-0.9991408154336956+0.007871208578706589j),(-0.017567416578756333+0.036702328079244034j),(-0.9998271498786795-0.003333475281601844j),(-0.01756741657876421-0.0050935434082890075j),(-0.9989963396362842+0.022339588616329807j),(-0.017567416578761506-0.03462141028626624j),(-0.9992292696896871+0.025866135592864672j),(-0.01756741657875977+0.023731740377154482j)
6000000.0,(-0.9575779516731806+0.0024121168274171536j),(-0.2849948710820935+0.04262125787353638j),(-0.957944884239405-0.03343755325856247j),(-0.2849948710820944+0.001205094413091511j),(-0.9585056810409203-0.0002929810045289021j),(-0.28499487108209304+0.006685584142239621j),(-0.9579719193379194+0.024900648992265656j),(-0.2849948710820933+0.021158518395809997j),(-0.9570966687534184+0.04293536123883873j),(-0.28499487108209204-0.03000741370574506j),(-0.9582028945964168-0.006174177862072364j),(-0.28499487108209604-0.024228408443037527j),(-0.9578533020909843+0.007546041313474154j),(-0.28499487108208826+0.035185684515148224j),(-0.9585112764684772-0.0031956309370993986j),(-0.284994871082095-0.004883061189420892j),(-0.9577147954843166+0.021416544446966945j),(-0.2849948710820953-0.03319074562740606j),(-0.9579380996065399+0.02479736382098012j),(-0.2849948710820894+0.022751077570847822j)
