Ip,0,1,2,3,4,5,6,7,8,9
6900000.0,6918048.404567169,6918530.348581192,6917974.054300738,6918391.651922275,6918505.59949883,6918839.364305127,6917304.9885487165,6917907.987635853,6918411.2219532225,6918357.107987622
7100000.0,7118192.961759134,7118593.392517732,7118175.366878913,7118671.899580435,7118825.437562717,7119093.981474913,7117325.468776262,7117573.471681036,7118325.456943486,7118057.847926816
7300000.0,7318278.392768878,7318744.90072385,7318798.036097743,7318912.323276606,7319118.056204553,7319267.159284052,7317494.969302945,7317321.263613401,7318227.203438949,7317586.610675491
7500000.0,7518293.353185697,7518867.7948172875,7519360.456069687,7519063.306047503,7519238.091077947,7519291.803379738,7517831.924418722,7517179.751437877,7518165.99145178,7517103.294264849
7700000.0,7718254.570876021,7718864.700898494,7719494.663345251,7719082.9919384,7719163.102263847,7719188.650495628,7718220.25261218,7717182.20094828,7718143.037013762,7716644.480422432
7900000.0,7918180.922057146,7918746.739381444,7919249.420652966,7918959.632757857,7918997.529177309,7919040.27914097,7918424.202712747,7917266.632912431,7918097.466617071,7916174.122046946
8100000.0,8118078.493612858,8118606.978511176,8118936.334318303,8118726.460316275,8118867.448520727,8118920.522795939,8118239.269510624,8117281.43055462,8117923.631551998,8115696.509431116
8300000.0,8317939.200559736,8318509.055350186,8318751.905549223,8318456.925140617,8318812.438082253,8318844.924292916,8317683.639726168,8317125.140154397,8317556.829692967,8315184.679855366
8500000.0,8517751.733210307,8518415.413549261,8518617.6271927,8518238.24341955,8518776.06107533,8518780.736516526,8517051.914063353,8516863.32951719,8517082.961726595,8514419.06876056
8700000.0,8717523.904312517,8718237.971810063,8718388.483149337,8718134.29071685,8718691.638333943,8718694.86871744,8716748.628626898,8716669.640572269,8716755.238754896,8713078.816869058
8900000.0,8917306.687947657,8917961.438444471,8918133.270481912,8918156.399913182,8918565.620284554,8918587.885282632,8917008.906801961,8916634.167494893,8916847.210691955,8911183.274038827
9100000.0,9117196.784384167,9117707.581205053,9118108.724932237,9118257.573539795,9118473.78262116,9118486.948880158,9117724.093282802,9116644.158797782,9117420.91000422,9109485.694257218
9300000.0,9317297.496545637,9317664.833096972,9318433.23629977,9318353.646963054,9318483.38687143,9318415.52784877,9318519.567890134,9316484.041286137,9318207.768540714,9309297.870150832
9500000.0,9517647.871176343,9517939.433403566,9518856.033997824,9518361.156783953,9518587.234403113,9518374.115002787,9519020.503431467,9516071.419634972,9518748.72415766,9511642.200188942
9700000.0,9718167.615306577,9718459.78964009,9718950.738866383,9718234.117730225,9718712.659229467,9718345.831971684,9719080.771455234,9715590.32930036,9718716.182654252,9716252.766815659
9900000.0,9918671.450469997,9919018.035478432,9918570.963175196,9917984.10456571,9918785.607715422,9918314.640589625,9918808.702650562,9915378.96808499,9918154.148090178,9921374.313391801
10100000.0,10118961.42834537,10119409.364084743,10118057.652250323,10117677.025107523,10118780.200315528,10118279.236057743,10118422.289212376,10115665.829491617,10117438.36347694,10124852.73337677
10300000.0,10318940.153131407,10319549.045232246,10317933.9439008,10317409.761104988,10318714.867189098,10318257.525572803,10318088.178262893,10316385.237292256,10317003.094938323,10325624.409236915
10500000.0,10518664.110164106,10519483.895626,10518375.07057951,10517276.298209216,10518620.301093856,10518283.364608573,10517858.9136714,10517227.21192281,10517057.574295932,10524210.952751974
10700000.0,10718300.819887346,10719318.461197495,10719003.008933214,10717335.32570328,10718524.873120166,10718393.5539322,10717708.467364637,10717863.393055284,10717496.432383012,10722012.190804912
10900000.0,10918025.29777011,10919137.36096303,10919252.2343944,10917590.301967312,10918464.899141816,10918603.790217217,10917597.200440837,10918144.041130925,10918037.2316179,10920243.976856899
11100000.0,11117929.206857368,11118980.503632598,11118936.653557323,11117988.92133644,11118486.312987683,11118885.554853447,11117513.41822866,11118123.458627798,11118437.966859328,11119323.104315339
11300000.0,11317996.436358053,11318862.826350113,11318415.375373846,11318441.96242619,11318614.41041361,11319166.39244358,11317485.174294636,11317949.382676918,11318616.838947108,11318967.130877776
11500000.0,11518144.661586385,11518794.411697295,11518206.35726118,11518853.587688334,11518816.14703568,11519363.201426346,11517569.191512885,11517746.201470856,11518626.442447076,11518719.089092243
11700000.0,11718288.90922591,11718775.864582425,11718472.091420092,11719150.309332514,11719002.981717905,11719427.955688812,11717810.618888162,11717571.864143167,11718564.652640505,11718349.916307598
