Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2000000.0,2000395.9947068358,2000574.1429187781,2000171.96185438,2000930.987491781,2000472.9671704804,2000908.2968191209,2000734.3060879784,2000006.874634717,2000170.925126412,2000029.926679409,2000060.85312149,2001134.7538198282,2000267.517256333,2000485.6308328053,2002775.7717709616,2000442.1923673882,2000865.520080715,2000811.3700386563,2000716.721761141,2002666.943613411,2000092.3677073282,2000861.3839527168,2000104.1178843528,2004128.7765176925,2000588.968369455,2001141.43963883,2000419.979122581,2000101.911328824,2000158.975108701,2002749.7159800585,2001834.7173372328,2001912.9277183462,2000243.47621096,2000235.606803528,2000204.209912201,2001756.051223131,2000320.940941176,2000075.3966458747,2003562.6839427548,2002451.8322402881,2000462.5482442009,2000824.843571625,2000317.8626560082,1999996.993688884,2000408.3928043263,2002781.1996445856,2000612.092585009,2001002.6879424853,2000612.663553597,2000447.653432176,2001175.2227346927,2002695.2916732777
2100000.0,2100327.201966713,2100552.9143185965,2100163.8703136616,2100754.319920152,2100460.779469985,2100875.0310573243,2100606.035657281,2100004.146181349,2100158.357744519,2100025.182046284,2100050.3635187363,2101074.1791789117,2100259.9450190933,2100472.635145721,2102591.865366036,2100369.270563871,2100837.841372529,2100656.716008921,2100647.3778882483,2102237.6011563176,2100071.6904876446,2100807.471066644,2100089.592165841,2103426.643308635,2100562.5180534148,2100972.947957637,2100387.886561156,2100086.55274463,2100133.655348138,2102278.8852751967,2101517.6285187365,2101586.30297638,2100217.3869668767,2100222.6389051117,2100198.546373813,2101426.9499344085,2100264.3745841333,2100065.031689417,2103152.564873856,2102231.191045077,2100385.1042521005,2100786.136568053,2100306.090382888,2099996.2626507482,2100339.6040556454,2102463.925620875,2100561.3972418564,2100913.089113977,2100552.253328,2100410.979722983,2100935.0970368977,2102601.9565795385
2200000.0,2200267.0906202844,2200494.17676718,2200144.9194959067,2200601.8858562424,2200429.351348781,2200782.630829271,2200493.21584412,2200001.236135289,2200134.4650052288,2200021.308261811,2200041.2677063653,2200941.886316351,2200243.251000601,2200434.0691500357,2202245.224083376,2200296.9853673815,2200781.521254216,2200522.7146469173,2200577.6009984403,2201879.6324171717,2200053.5442392067,2200698.342157607,2200071.884091829,2202842.19491814,2200495.409285956,2200831.09026016,2200349.942218759,2200069.0253065214,2200105.344688694,2201885.478146944,2201218.2148352317,2201311.2115314105,2200191.427320105,2200202.061213127,2200180.674807047,2201134.1220762483,2200217.303623476,2200056.501788015,2202610.9369407855,2201888.42206035,2200309.76467514,2200695.546913547,2200279.5418598643,2199995.491496929,2200273.25170137,2202187.482275526,2200476.8526472333,2200819.689503348,2200491.950200169,2200350.5669905073,2200695.8438309305,2202518.9900474446
2300000.0,2300218.3207966117,2300416.4640348274,2300121.145264877,2300477.6314735925,2300379.5816956786,2300660.2247312143,2300400.991477969,2299998.59512054,2300106.485791059,2300018.0345962257,2300033.7453747657,2300779.859791651,2300216.5513342973,2300371.9160235124,2301843.710632086,2300235.5516761425,2300692.484371424,2300412.874441775,2300494.3641646025,2301559.939860752,2300038.373662863,2300567.957977552,2300055.1546218432,2302340.081374924,2300408.50901821,2300696.832176648,2300299.2989024976,2300053.068998196,2300079.7348873657,2301563.347461407,2300968.488242482,2301084.217362564,2300160.7043211157,2300171.459673051,2300151.8346347525,2300893.512454664,2300175.497663667,2300048.917860166,2302077.4723719195,2301523.15859002,2300246.241559828,2300582.068683111,2300237.0010244567,2299994.765860581,2300217.5275643673,2301904.153172122,2300383.65326621,2300705.2100170585,2300420.285394427,2300284.491306261,2300487.184472174,2302437.348843581
2400000.0,2400178.517492014,2400342.0400493243,2400099.2308334517,2400372.9406529157,2400320.10176466,2400542.930146676,2400325.1082734014,2399996.4236716074,2400081.86282181,2400014.9599431846,2400027.345911747,2400633.098916621,2400183.332470646,2400297.51008169,2401493.7403321583,2400188.5318012442,2400581.134195148,2400319.781420004,2400393.072157764,2401236.6834287667,2400025.1779071093,2400451.847006358,2400042.3664395628,2401858.58130329,2400326.372556145,2400551.9103005207,2400235.7234573453,2400041.0762035795,2400060.0525206416,2401279.470218426,2400772.9655963453,2400883.42928243,2400123.26865022,2400133.019527608,2400117.4882388576,2400695.6668673847,2400133.296752768,2400041.2922033165,2401657.462667739,2401222.489886466,2400197.30193526,2400477.759512951,2400183.9159019208,2399994.144463298,2400174.5158995017,2401580.277660684,2400305.1809032736,2400564.992545628,2400332.9129257724,2400229.0986210783,2400319.403536631,2402354.5669092727
2500000.0,2500142.3589321226,2500290.428869524,2500084.565297415,2500272.7713293056,2500264.6657727687,2500461.6531391395,2500255.79586146,2499994.658742292,2500066.243344209,2500011.750872171,2500021.331240944,2500537.078297472,2500150.432018118,2500228.292462043,2501271.8850973104,2500153.256961496,2500469.471055401,2500230.470632629,2500280.300663964,2500880.5618905183,2500012.2424446093,2500377.426128948,2500034.6775929,2501342.157004801,2500270.299922236,2500387.7496772083,2500166.2977423714,2500033.6732691014,2500046.5747556,2500993.034457487,2500613.774949045,2500681.5908409473,2500081.237804346,2500093.11879678,2500085.775951962,2500515.2482465925,2500086.4868051964,2500033.018271849,2501398.408715804,2501039.0766314524,2500159.5244905455,2500408.5773672285,2500131.001211389,2499993.6506685307,2500140.9764097915,2501212.293095,2500256.938215346,2500410.108497639,2500235.11397554,2500194.6970516862,2500186.833813252,2502273.962783404
2600000.0,2600104.392238411,2600273.0196834067,2600079.7801759318,2600163.390835417,2600227.9636720987,2600434.539139805,2600183.03709876,2599993.047516413,2600062.086818245,2600008.2964314967,2600015.0712444726,2600508.550952108,2600125.974501056,2600182.7252595117,2601206.347117311,2600123.084274185,2600384.595387189,2600133.1820218563,2600172.7834398258,2600490.739416891,2599998.058824789,2600357.093075817,2600031.3927961104,2600769.961023782,2600252.6094368068,2600210.757618283,2600103.7361090304,2600029.8393104943,2600037.080615986,2600675.565395353,2600462.188349868,2600459.86207588,2600040.5575986863,2600060.5914102998,2600065.169011728,2600324.8585437536,2600034.5527205733,2600024.1832643123,2601284.555539409,2600980.3113305587,2600125.859520741,2600387.427091457,2600091.2196349883,2599993.2732676,2600110.668005996,2600832.0581022776,2600243.083616281,2600265.2192614027,2600141.0707012857,2600183.281279259,2600075.3739805063,2602201.8023021203
2700000.0,2700061.663976508,2700290.2409536946,2700084.168983689,2700039.214846445,2700221.113568596,2700462.432001914,2700101.5072226296,2699991.2815485345,2700068.24201249,2700004.7736524297,2700008.364506233,2700542.145972688,2700116.8893534867,2700174.8484543557,2701273.0782469558,2700090.695174777,2700350.5497229383,2700023.315226761,2700092.970075433,2700100.4701892263,2699982.132763006,2700385.9051291607,2700030.451791727,2700171.2913035117,2700273.686191773,2700042.377198755,2700062.8285520915,2700027.4936291347,2700028.0505270786,2700325.6864917884,2700292.709026284,2700217.8968256,2700009.4732318674,2700044.175386864,2700062.002358843,2700108.6388427974,2699981.602700404,2700015.620547878,2701250.416037547,2701011.177555885,2700089.10553394,2700411.3110808046,2700076.025262584,2699992.9754089504,2700077.413019336,2700500.04968971,2700256.422487456,2700161.8661739337,2700070.141057541,2700188.8500039885,2699970.983090399,2702143.6701532574
2800000.0,2800015.3409707057,2800332.039788944,2800094.128283196,2799906.5918621253,2800248.1638903855,2800529.539052564,2800013.6227571443,2799989.146342156,2800080.572345352,2800001.606497161,2800001.5850871047,2800613.5647086855,2800126.748983052,2800210.0452195616,2801407.4125922425,2800051.361469727,2800380.888129968,2799906.6977196382,2800062.4742105943,2799770.7713655564,2799965.420910208,2800444.350540447,2800029.281972434,2799623.392281396,2800322.557116638,2799913.890487058,2800056.05708865,2800024.351857522,2800016.2108030855,2799973.9771917025,2800095.151169256,2799977.094626896,2799996.1616466884,2800049.891855184,2800078.5946927527,2799871.2951756823,2799935.670835192,2800008.6906192973,2801208.8433859358,2801069.637817153,2800045.175426578,2800463.2845571227,2800091.9522210225,2799992.7085674144,2800037.911042544,2800288.6018330017,2800281.7109425208,2800129.176521002,2800041.2409818755,2800200.1143063013,2799866.077850367,2802101.436413571
2900000.0,2899970.827788756,2900381.4347246243,2900104.4556196206,2899783.358505045,2900304.631896545,2900608.9859968014,2899929.762523082,2899986.6372503894,2900093.406980015,2899999.3340237737,2899995.6126473458,2900688.2604978695,2900154.5627822015,2900283.229554001,2901527.509777521,2900005.1508802413,2900474.140545325,2899799.1438553426,2900095.3367235265,2899574.046856424,2899950.253382786,2900505.2476807283,2900025.743821452,2899232.4121954637,2900380.724605463,2899857.508917075,2900089.6681037773,2900018.7808317686,2899999.9266529474,2899676.5677361423,2899880.902749801,2899776.0833442775,2900006.222575323,2900079.117587585,2900112.4895295394,2899639.7299497896,2899906.5973703307,2900004.862419166,2901084.5504581463,2901089.5882133017,2899995.125921797,2900518.507491788,2900138.52722766,2899992.42741448,2899993.4202348413,2900260.0844555087,2900301.169570265,2900184.700641558,2900066.9847442526,2900204.693960149,2899761.752766654,2902071.888825737
