Ip,0,1,2
11300000.0,11244217.805662045,11238528.83678607,11233910.716361271
11400000.0,11339886.488336796,11335739.279766597,11332201.141688626
11500000.0,11435637.569233274,11432988.131627442,11430556.301304271
11600000.0,11531517.268544115,11530265.19251579,11529002.171007048
11700000.0,11627554.459463421,11627556.761077259,11627557.308760269
11800000.0,11723760.76399846,11724847.40473278,11726232.270677214
11900000.0,11820131.421184499,11822121.819900563,11825029.40252639
12000000.0,11916646.929270772,11919366.685296075,11923943.025120297
12100000.0,12013275.421211936,12016572.411919013,12022960.014778644
12200000.0,12109975.68357025,12113734.699976468,12122060.759966122
12300000.0,12206700.67940145,12210855.825228425,12221220.453836199
12400000.0,12303401.392862985,12307945.593195919,12320410.661260782
12500000.0,12400030.784354182,12405021.917794704,12419601.080476137
12600000.0,12496547.634745052,12502110.999241466,12518761.405703094
12700000.0,12592920.06756311,12599247.0930688,12617863.189806763
12800000.0,12689128.566882841,12696471.876523556,12716881.605959838
12900000.0,12785168.35154312,12793833.430484494,12815797.014738554
13000000.0,12881051.015880011,12891384.864157248,12914596.25674838
13100000.0,12976805.396398827,12989182.617361182,13013273.60944547
13200000.0,13072477.665948099,13087284.48199135,13111831.36777268
13300000.0,13168130.688144704,13185747.392009828,13210280.029888738
13400000.0,13263842.682619637,13284625.040645368,13308638.089111993
13500000.0,13359705.257426988,13383965.395777106,13406931.450525858
13600000.0,13455820.860978432,13483808.199387362,13505192.504342241
13700000.0,13552299.696686503,13584182.554024369,13603458.898382934
13800000.0,13649256.134089384,13685104.716386428,13701772.059258398
13900000.0,13746804.64620501,13786576.232569134,13800175.516944395
14000000.0,13845055.309626885,13888582.557313403,13898713.091425331
14100000.0,13944108.92617344,13991092.296409812,13997427.003690975
14200000.0,14044051.866211493,14094057.193425281,14096355.977270585
14300000.0,14144950.794963533,14197412.946640417,14195533.400756251
14400000.0,14246847.521077728,14301080.889549473,14294985.625939565
14500000.0,14349754.293126287,14404970.502082346,14394730.479497483
14600000.0,14453649.9492937,14508982.646577546,14494776.067039665
14700000.0,14558477.37735938,14613013.352259476,14595119.945293862
14800000.0,14664142.741700007,14716957.91511282,14695748.729562432
14900000.0,14770516.85960459,14820715.04604978,14796638.188170016
15000000.0,14877438.949317673,14924190.794932123,14897753.852894016
15100000.0,14984722.734527828,15027302.002445322,14999052.145165384
15200000.0,15092164.604907796,15129979.081554629,15100481.98390217
15300000.0,15199553.250842122,15232167.997056317,15201986.805494854
15400000.0,15306679.972268246,15333831.385060214,15303506.89365437
15500000.0,15413348.757535929,15434948.823820693,15404981.890671605
15600000.0,15519385.263973216,15535516.32524236,15506353.345799616
15700000.0,15624643.998500844,15635545.157871207,15607567.15316564
15800000.0,15729013.254110806,15735060.136097115,15708575.741394967
15900000.0,15832417.648569841,15834097.51825015,15809339.898494396
16000000.0,15934818.378200369,15932702.651832024,15909830.145526595
16100000.0,16036211.500466354,16030927.491578141,16010027.607257731
16200000.0,16136624.675472904,16128828.099392029,16109924.363004044
16300000.0,16236112.83135717,16226462.217850966,16209523.292815622
16400000.0,16334753.189565653,16323886.993139729,16308837.460272435
16500000.0,16432640.017235972,16421156.910075897,16407889.092237443
16600000.0,16529879.388574611,16518321.991479881,16506708.227805287
16700000.0,16626584.153560309,16615426.306025878,16605331.114376038
16800000.0,16722869.24202864,16712506.821664939,16703798.42958687
16900000.0,16818847.379975997,16809592.63464214,16802153.405599434
17000000.0,16914625.26337948,16906704.59556458,16900439.928260174
17100000.0,17010300.22095709,17003855.34329042,16998700.679415543
17200000.0,17105957.39650353,17101049.743768923,17096975.38646379
17300000.0,17201667.488886815,17198285.714872297,17195299.239549745
17400000.0,17297485.09769521,17295555.400275946,17293701.533042368
17500000.0,17393447.729687773,17392846.637152173,17392204.58354725
17600000.0,17489575.52069691,17490144.645453468,17490822.97059297
17700000.0,17585871.716048464,17587433.852934666,17589563.137531143
17800000.0,17682323.927967206,17684699.7612982,17688423.37824948
17900000.0,17778906.151451435,17781930.756163172,17787394.21984933
18000000.0,17875581.47375827,17879119.767232686,17886459.192742825
