Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3100000.0,2978961.3359840587,2985252.564191696,2984190.9010346704,2973712.926924292,2978423.5713537266,2984310.3214852787,2982664.8348970884,2987162.262625134,2983644.9122868404,2984394.357780476,2989881.386018951,2986408.90730508,2976581.868093418,2982009.5468860744,2977587.9868104816,2993005.862288715,2984640.2641141093,2966733.747330434,2974151.843058483,2980777.145390954
3200000.0,3077216.307314668,3080513.281813311,3082017.300612721,3075521.94617051,3074000.82039143,3081716.201645071,3078234.13993495,3085216.512999951,3078202.5816777786,3081493.0893033026,3088245.990264015,3083629.98994898,3071906.397750822,3079164.8814818976,3074313.4323003134,3089657.035792151,3079813.671818699,3061723.9432389094,3070915.5648818905,3077303.9114564667
3300000.0,3178971.714382614,3177805.932786492,3182609.8474558108,3182214.4988063625,3172500.5749150002,3181788.835282791,3176223.333819504,3185720.4663116564,3174763.4649113743,3181183.343622511,3188784.969704044,3183230.340606096,3170301.7078694124,3179209.290283,3174363.0959240464,3187810.5532320603,3177064.5610976685,3160892.022553416,3171437.2467856295,3176720.8374736886
3400000.0,3284128.378601572,3277581.057481865,3285904.7984104482,3292906.0468841875,3274393.3754157675,3284552.586810343,3277050.234996227,3288535.623878333,3273930.7323004087,3283553.049216995,3291274.8795930576,3285253.217669324,3272315.204651952,3282244.4766612556,3277985.5287563815,3287577.452699221,3276866.8009815123,3265032.8367831893,3276010.0192114133,3279275.191019497
3500000.0,3391762.167649056,3379867.0771359284,3391221.0667818543,3405468.87244429,3379509.43995088,3389439.5433524745,3380615.582636046,3392992.8698330666,3375906.376617726,3388117.3332240297,3395038.258242878,3389223.598467835,3377822.655918265,3387720.8700607712,3384663.0621862486,3388757.1692534527,3379263.393652132,3373986.561039877,3384037.5100174937,3384566.954445216
3600000.0,3500227.833048045,3484143.9773866716,3497334.220927151,3517104.727079123,3486886.508276588,3495326.179564146,3486182.5351586686,3497989.6733663245,3480309.607512582,3493828.8644880448,3499065.079357543,3494174.3681528307,3485838.6410873095,3494444.037805073,3493053.3331828946,3490831.9787588334,3483730.7019978655,3486286.9582308643,3493951.418012256,3491493.2105420153
3700000.0,3607615.4823466875,3589378.3257847973,3602786.9072181103,3625354.7068763124,3594903.749365825,3600801.215763792,3592467.6210190747,3602271.1597359637,3586144.475567572,3599314.026126496,3602273.073107987,3598866.2597025027,3594635.500359619,3600852.0192253245,3601284.721477809,3593063.7880182634,3589208.544105009,3599339.3331252667,3603570.831734832,3598472.008339258
3800000.0,3712356.116379056,3694265.9149073353,3706315.646139851,3728880.970871973,3701738.685292974,3704573.9244263824,3697975.029045433,3704783.4575967444,3692005.7998957257,3703265.3719334467,3703800.7780881985,3702133.4938978567,3702233.5938306963,3705478.24628234,3707536.7764040846,3694674.382385852,3694348.6673446987,3710270.543488279,3710814.3502896833,3703905.316210402
3900000.0,3813636.991208521,3797602.436719653,3807180.1578932973,3827600.3722499693,3805936.14675783,3805821.988262156,3801438.6030923002,3804932.4749063477,3796480.5640689577,3804801.002481141,3803203.351043106,3803194.2615194707,3807036.152952703,3807364.2950378535,3810591.3228255888,3795041.8613525555,3797901.047596742,3816969.5895570056,3814351.4226746764,3806650.6019107257
4000000.0,3911458.6619691206,3898605.5252028876,3905260.5316484566,3922331.998891866,3906777.55396089,3904327.04692468,3902147.64412501,3902652.769915808,3898553.3060771506,3903628.2630669726,3900489.328258457,3901792.34637147,3908247.9398849932,3906229.4614302972,3910067.132405289,3893835.6875070645,3899051.683763928,3918628.852429578,3913839.2343396284,3906263.0670524905
4100000.0,4006425.908342404,3997049.7639161865,4000947.165984617,4014329.355765797,4004313.6777306693,4000396.956415896,4000027.524321557,3998310.9393813177,3997820.7207814516,3999991.2642482966,3996026.792122111,3998152.829565221,4005913.5802220576,4002387.938947093,4006315.19595185,3991050.335982927,3997564.297273059,4015616.068478862,4009753.3570073084,4002954.9426662344
4200000.0,4099454.870437343,4093206.2251088126,4094933.428592121,4104908.3645092463,4099157.496351854,4094673.5790588725,4095512.8435203754,4092529.021951388,4094466.6583037563,4094491.263797031,4090387.8591643577,4092824.826279775,4100686.6701224027,4096531.9081984293,4100142.6736275814,4086948.768371528,4093716.863382224,4109011.9157427684,4103044.7435585065,4097383.6148223034
4300000.0,4191513.4307092573,4187670.1657732683,4188003.984479233,4195200.690351264,4192205.112787114,4187922.8168332633,4189330.221473897,4186001.047120141,4189083.7418312207,4187878.600319982,4184188.5550100673,4186494.649672055,4193523.5594701893,4189497.0083404365,4192526.4777546767,4181954.9842691384,4188122.0019998127,4200156.130733928,4194814.296948013,4190402.830567554
4400000.0,4283427.8868255215,4281164.748223888,4280861.096463873,4285996.46920486,4284389.310420942,4280856.452846687,4282283.225479593,4279339.132499118,4282452.824077393,4280871.26006721,4277954.084054472,4279818.97500333,4285418.828750178,4282067.064514971,4284386.235261764,4276534.193690247,4281523.918683061,4290326.900048188,4286071.012574434,4282849.960121486
4500000.0,4375752.589996908,4374369.497663938,4373999.868151433,4377654.416672141,4376495.113342757,4374000.625909242,4375078.649160236,4372962.390927827,4375346.224133327,4374018.181467646,4372023.288616269,4373297.275731733,4377211.328523721,4374831.441252043,4376423.9881268265,4371086.37357421,4374622.210114966,4380537.858699915,4377568.442163596,4375388.0466953
4600000.0,4468702.373695539,4467790.728552872,4467638.489065099,4470091.286743832,4469035.648891812,4467617.184457276,4468203.176280166,4467037.710373952,4468376.435294411,4467613.947513454,4466503.055384122,4467192.525958353,4469454.636805161,4468098.04860197,4469025.351659078,4465869.000317508,4467939.303991204,4471413.417637579,4469706.652247048,4468404.045603552
4700000.0,4562160.748115405,4561682.218745487,4561714.807609096,4562876.255218506,4562190.5679939315,4561688.531493769,4561856.416660463,4561483.569458373,4561896.31625917,4561674.948638163,4561282.910350193,4561510.757530677,4562351.379484436,4561871.712465754,4562229.102814835,4560960.641000345,4561739.072572822,4563132.839995721,4562505.943340223,4561970.673561002
4800000.0,4655774.870301354,4656027.489611669,4655957.367073952,4655429.148790062,4655820.613461547,4655975.385717084,4655952.3658982925,4656041.875300078,4655960.697940292,4655987.210553974,4656111.018816554,4656048.2107869135,4655765.322740353,4655909.408156639,4655780.107286547,4656273.529343916,4656007.9042045,4655463.276463566,4655669.831311499,4655884.890373264
4900000.0,4749122.322709427,4750593.269571303,4750019.1439466905,4747269.206656885,4749567.431427048,4750139.82388112,4750197.333211698,4750403.300766857,4750362.634465111,4750221.157024975,4750713.60460276,4750499.908667941,4749322.652007218,4749847.551034978,4749265.828245282,4751614.166201718,4750508.390363404,4747900.050477556,4748738.305155417,4749784.119131452
5000000.0,4841900.667651793,4845047.115693745,4843635.53269636,4838229.806076519,4843020.67982925,4843899.712312252,4844230.73877042,4844349.004719509,4844744.77777758,4844082.902178769,4844921.367902875,4844600.151236437,4842586.018260325,4843367.6598020885,4842303.008449163,4846776.28820363,4844899.116853852,4839892.365501142,4841293.772745276,4843312.610651092
5100000.0,4934078.178456611,4939106.706048473,4936755.915304526,4928575.98521165,4935902.185861507,4937165.195369602,4937787.542021245,4937863.666910438,4938758.543376473,4937454.041646742,4938763.190133219,4938250.433398463,4935249.52120198,4936347.39619901,4934714.721168536,4941637.844043484,4938887.711655653,4931084.666530508,4933152.9306514235,4936285.575435439
5200000.0,5025965.094399864,5032672.927332217,5029611.401107911,5019013.728318613,5028207.5545309475,5030116.930869735,5030829.963601913,5031188.3891896885,5032220.387812854,5030477.698238114,5032502.051242083,5031596.401908039,5027291.044702468,5028951.620434413,5026643.346735338,5036231.904986533,5032367.993979071,5021494.010312837,5024485.978172694,5028799.893605246
5300000.0,5118199.458953192,5125906.960295542,5122708.153398887,5110614.513270843,5120268.1307228375,5123211.1516000535,5123611.691098238,5124805.523912887,5125216.031719721,5123572.583744591,5126608.736747171,5125037.351575771,5119041.610155783,5121645.642107469,5118576.9921670845,5130772.031064016,5125500.088355902,5111582.138698882,5115842.063054374,5121266.260644666
5400000.0,5211661.514324212,5219235.946713491,5216754.939105443,5204672.587615558,5212729.642528412,5217117.804455539,5216665.938858797,5219363.586446964,5218128.444841762,5217379.263286679,5221681.843096013,5219172.000548537,5211167.628233514,5215136.996231884,5211296.740937336,5225627.74784812,5218717.538502685,5202229.323910374,5208092.246568626,5214365.562449824
